REPORTING_PERIOD,GEOGRAPHY_LEVEL,ORG_CODE,ORG_DESCRIPTION,MEASURE_TYPE,MEASURE,MEASURE_VALUE
2425,Provider,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),24035
2425,Provider,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),27485
2425,Provider,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),24460
2425,Provider,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),63900
2425,Provider,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),275
2425,Provider,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),65580
2425,Provider,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),32805
2425,Provider,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),54315
2425,Provider,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),58480
2425,Provider,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,Arrival Mode ,Brought in by ambulance (including helicopter / Air Ambulance),25755
